venueCategory,latitude,longitude
Subway,35.69541694,139.7511095
Convenience Store,35.68109549,139.7863644
Train Station,35.83049393,139.5623713
Train Station,35.56275,139.725539
Convenience Store,35.76942308,139.6672314
Subway,35.78823,139.6131454
Airport,35.54619197,139.7850059
Airport,35.548122,139.785503
Train Station,35.57491385,139.6632349
Convenience Store,35.58524248,139.7073998
Train Station,35.74870655,139.8048019
Subway,35.64752347,139.7484326
Convenience Store,35.67312922,139.9017603
Convenience Store,35.72493075,139.753571
Train Station,35.64489918,139.710989
Subway,35.67269836,139.7240674
Convenience Store,35.67968804,139.7797072
Train Station,35.60624843,139.7348499
Train Station,35.65859949,139.7020948
Subway,35.67867275,139.740217
Subway,35.669687,139.767254
Train Station,35.66836141,139.6504027
Convenience Store,35.70265889,139.7754049
Convenience Store,35.69813542,139.7560742
Airport,35.54570577,139.7851896
Subway,35.6921015,139.7848892
Bus Station,35.54892,139.785241
Train Station,35.60350066,139.6175301
Convenience Store,35.68627626,139.7365344
Bus Station,35.65836848,139.7024167
Train Station,35.7300438,139.6830291
Train Station,35.62643514,139.6339278
Subway,35.67702995,139.7370386
Train Station,35.62752523,139.7787952
Train Station,35.82221515,139.5751941
Train Station,35.65363051,139.6473777
Convenience Store,35.74149651,139.5137072
Train Station,35.69069336,139.7004186
Subway,35.67683821,139.7701371
Subway,35.68239834,139.77386
Train Station,35.68822423,139.7013062
Train Station,35.7378943,139.7628295
Train Station,35.69152204,139.7012472
Bus Station,35.68295608,139.7663605
Subway,35.67051941,139.7737259
Convenience Store,35.68643939,139.6848785
Bus Station,35.57693217,139.558551
Train Station,35.63312803,139.7155809
Train Station,35.6334692,139.6616444
Train Station,35.57742264,139.558441
Train Station,35.73767353,139.7613502
Train Station,35.68008021,139.7202373
Subway,35.71072459,139.6863234
Train Station,35.67058042,139.608947
Convenience Store,35.69521418,139.793895
Train Station,35.70703952,139.7821641
Train Station,35.56192592,139.7147409
Convenience Store,35.56301458,139.6277225
Train Station,35.64351289,139.6711582
Train Station,35.65850795,139.701325
Train Station,35.73442516,139.7687531
Convenience Store,35.77368164,139.6704102
Convenience Store,35.66698066,139.770475
Train Station,35.73080215,139.7105598
Airport,35.55126861,139.7875775
Train Station,35.56260438,139.6999168
Subway,35.64430194,139.6991578
Bus Station,35.65566604,139.7110702
Train Station,35.58105261,139.6414232
Subway,35.65637656,139.7546071
Train Station,35.77760438,139.6329273
Train Station,35.78825523,139.6129199
Train Station,35.69984749,139.7637802
Train Station,35.53278501,139.7009039
Train Station,35.7602343,139.7222114
Train Station,35.55000441,139.7864623
Train Station,35.67993969,139.7682153
Train Station,35.6749785,139.7632188
Subway,35.68443754,139.729979
Subway,35.66278801,139.7596335
Train Station,35.53473417,139.7480021
Convenience Store,35.73098505,139.5038903
Subway,35.68490812,139.7731519
Subway,35.68401925,139.7376823
Bus Station,35.63137718,139.8885334
Train Station,35.70134171,139.5064437
Subway,35.69059403,139.6925622
Subway,35.78888969,139.6611643
Bus Station,35.67711558,139.7852356
Convenience Store,35.676927,139.785541
Subway,35.67204468,139.7641718
Train Station,35.65866051,139.684478
Bus Station,35.64514597,139.559745
Train Station,35.62611683,139.723649
Bus Station,35.607228,139.739819
Subway,35.77744721,139.685934
Convenience Store,35.59943989,139.6097946
Train Station,35.66020344,139.5232961
Subway,35.67054556,139.7178555
Train Station,35.63764487,139.6911407
Train Station,35.65524018,139.7570596
Subway,35.64244046,139.7339916
Bus Station,35.75385245,139.7383583
Subway,35.64285897,139.7340345
Convenience Store,35.6546325,139.7084463
Train Station,35.67505157,139.7633135
Subway,35.63919693,139.7402358
Airport,35.54704332,139.7846164
Subway,35.67873811,139.7403646
Train Station,35.76031918,139.533935
Subway,35.68939589,139.8261952
Train Station,35.66622234,139.7584963
Train Station,35.74631198,139.7517371
Subway,35.66656664,139.7262132
Train Station,35.66158508,139.6674728
Train Station,35.73469718,139.7670674
Train Station,35.73081086,139.7692251
Train Station,35.63002364,139.740386
Subway,35.69097308,139.7354937
Subway,35.68892098,139.6995628
Convenience Store,35.75484502,139.8362052
Subway,35.6650369,139.712491
Convenience Store,35.73750353,139.7734923
Convenience Store,35.7286139,139.7172654
Train Station,35.70087123,139.6972132
Train Station,35.61988117,139.7283731
Train Station,35.68113471,139.7678196
Train Station,35.74548747,139.8560241
Train Station,35.64655245,139.7102273
Train Station,35.74599633,139.8563332
Convenience Store,35.6860388,139.6693423
Train Station,35.64431502,139.6990907
Train Station,35.75094758,139.867691
Train Station,35.7509699,139.8669266
Bus Station,35.6695603,139.8058519
Subway,35.66300592,139.7450423
Train Station,35.75096173,139.8675334
Train Station,35.68116739,139.7114396
Train Station,35.6881863,139.599369
Train Station,35.55083256,139.7880369
Train Station,35.64990793,139.5513278
Train Station,35.72623397,139.5920759
Subway,35.68569676,139.741644
Subway,35.70734444,139.7514474
Subway,35.67170477,139.7414804
Convenience Store,35.69749011,139.6486292
Train Station,35.84421489,139.6279183
Subway,35.5496176,139.6201486
Subway,35.70320617,139.7909537
Subway,35.6587346,139.7016227
Train Station,35.60184249,139.7217686
Convenience Store,35.836049,139.793406
Subway,35.64812504,139.7487545
Convenience Store,35.65203078,139.5428628
Train Station,35.71202259,139.7984076
Train Station,35.7882236,139.6129249
Train Station,35.758702,139.6894026
Convenience Store,35.69153184,139.6426235
Subway,35.71733637,139.7657275
Train Station,35.76868594,139.6622014
Convenience Store,35.656334,139.70532
Subway,35.69439313,139.692809
Train Station,35.69627083,139.8139536
Convenience Store,35.53655669,139.5885086
Train Station,35.6706763,139.7025239
Train Station,35.70318439,139.5799041
Subway,35.69807878,139.7659984
Train Station,35.65913341,139.7010025
Subway,35.75441839,139.7373256
Subway,35.70416026,139.792012
Bus Station,35.70226523,139.5790565
Train Station,35.69059839,139.6995628
Train Station,35.55453958,139.7297108
Subway,35.70765806,139.7729802
Train Station,35.69737086,139.8135674
Convenience Store,35.77923902,139.7218035
Subway,35.66848857,139.7053885
Convenience Store,35.66637986,139.8928253
Convenience Store,35.58496485,139.7100329
Bus Station,35.64110208,139.7954518
Train Station,35.66949092,139.6881902
Convenience Store,35.68894964,139.6550263
Subway,35.69647995,139.8150158
Bus Station,35.68897544,139.6551186
Train Station,35.6916876,139.77088
Train Station,35.60879495,139.7180553
Train Station,35.69867779,139.7742221
Convenience Store,35.81261485,139.7242606
Bus Station,35.65938839,139.7180378
Subway,35.74367135,139.6792316
Bus Station,35.70133446,139.7006081
Convenience Store,35.6126416,139.7191998
Train Station,35.69836195,139.7729266
Train Station,35.65797184,139.5750332
Bus Station,35.65806761,139.7008225
Bus Station,35.83330168,139.6693879
Convenience Store,35.70111409,139.7549926
Subway,35.70947011,139.7334713
Convenience Store,35.63575823,139.7313764
Train Station,35.71796355,139.8167297
Train Station,35.70223038,139.5448208
Train Station,35.68998843,139.7011292
Train Station,35.66616568,139.7586626
Train Station,35.6070411,139.7350084
Convenience Store,35.81381114,139.800961
Train Station,35.75136216,139.5459177
Subway,35.65688049,139.754338
Train Station,35.73345382,139.7394838
Train Station,35.72849414,139.7114986
Train Station,35.72810221,139.7712743
Train Station,35.65907021,139.7011346
Convenience Store,35.64389652,139.7341633
Bus Station,35.58824065,139.7273804
Bus Station,35.69171374,139.6986347
Bus Station,35.53230481,139.6970737
Train Station,35.53053022,139.6971876
Convenience Store,35.66951054,139.6801436
Bus Station,35.70174684,139.5447564
Train Station,35.64536826,139.7478818
Convenience Store,35.6124851,139.5714068
Train Station,35.70384108,139.5993602
Subway,35.67420616,139.7450584
Train Station,35.66614389,139.641434
Train Station,35.62907326,139.7396684
Train Station,35.69017142,139.6991658
Convenience Store,35.68993876,139.8154986
Convenience Store,35.636331,139.694334
Convenience Store,35.67009233,139.672152
Train Station,35.6435652,139.6706593
Convenience Store,35.68941331,139.8232126
Bus Station,35.58053029,139.6978308
Convenience Store,35.69768796,139.6751637
Train Station,35.69086852,139.7003031
Train Station,35.70129379,139.7000409
Train Station,35.56771428,139.6925864
Convenience Store,35.73469731,139.7105464
Convenience Store,35.77713979,139.7213531
Train Station,35.73827442,139.848597
Train Station,35.72923697,139.7108508
Convenience Store,35.55547752,139.6818099
Train Station,35.7251191,139.6035665
Train Station,35.74233249,139.7970772
Train Station,35.71034999,139.8090398
Convenience Store,35.68911051,139.7424211
Convenience Store,35.67475088,139.4715106
Subway,35.58686371,139.7059357
Train Station,35.68058822,139.4717697
Subway,35.70668668,139.7599286
Train Station,35.60846801,139.647792
Train Station,35.63626717,139.8834309
Train Station,35.60426612,139.6000019
Train Station,35.62023881,139.7280425
Bus Station,35.60694627,139.5512044
Train Station,35.622285,139.739242
Train Station,35.64425399,139.6990585
Bus Station,35.61012823,139.550533
Convenience Store,35.66613954,139.7706252
Train Station,35.66615261,139.4771433
Convenience Store,35.8101439,139.7628146
Bus Station,35.57918093,139.5734131
Train Station,35.67765108,139.7651556
Bus Station,35.55342231,139.5771199
Train Station,35.60025702,139.72118
Train Station,35.53072011,139.6962583
Convenience Store,35.75200191,139.8684728
Bus Station,35.64778067,139.6790144
Bus Station,35.57339327,139.6584257
Convenience Store,35.74898857,139.5696297
Convenience Store,35.70954852,139.7935688
Train Station,35.69737294,139.7851307
Convenience Store,35.68921725,139.7078991
Convenience Store,35.68942532,139.7087762
Bus Station,35.65795005,139.7007537
Train Station,35.71365596,139.7771001
Train Station,35.7169618,139.8581672
Convenience Store,35.54096112,139.6721667
Train Station,35.66043444,139.6730947
Train Station,35.73184291,139.7280639
Subway,35.72939123,139.7100449
Convenience Store,35.67221464,139.4802976
Bus Station,35.77890082,139.7212984
Subway,35.67513872,139.7598696
Train Station,35.77203022,139.8204339
Train Station,35.75894143,139.8128405
Bus Station,35.53140551,139.6956065
Train Station,35.66681326,139.7580478
Train Station,35.66661458,139.7581744
Subway,35.74205383,139.6491104
Convenience Store,35.71545848,139.8583337
Train Station,35.70025481,139.4802573
Train Station,35.68150944,139.7653198
Convenience Store,35.73261585,139.7679967
Train Station,35.68387955,139.7021339
Train Station,35.65784372,139.7014757
Bus Station,35.77877082,139.6859004
Train Station,35.68931964,139.7004613
Subway,35.75849305,139.628849
Convenience Store,35.71914384,139.786799
Subway,35.69800309,139.657841
Subway,35.69078574,139.7063541
Convenience Store,35.72727915,139.6809644
Subway,35.66552067,139.7594672
Train Station,35.68151816,139.766103
Train Station,35.71325089,139.7923055
Train Station,35.70284461,139.5616221
Train Station,35.68148818,139.7652597
Convenience Store,35.69433528,139.7921019
Convenience Store,35.558577,139.708808
Convenience Store,35.69312969,139.720944
Subway,35.69793938,139.7074297
Subway,35.71769351,139.7580135
Train Station,35.58049,139.661864
Train Station,35.55133067,139.6751305
Train Station,35.73724245,139.7740129
Train Station,35.669627,139.688855
Subway,35.69747323,139.682858
Train Station,35.7062293,139.6858299
Train Station,35.71373001,139.7772288
Subway,35.67511257,139.7596121
Train Station,35.69017142,139.6989298
Convenience Store,35.83206743,139.73426
Train Station,35.62567861,139.713411
Subway,35.81676917,139.7362715
Train Station,35.69090337,139.6997344
Subway,35.74075631,139.6682775
Train Station,35.72816753,139.7111714
Convenience Store,35.77323583,139.5206219
Train Station,35.7332059,139.7775722
Train Station,35.58981272,139.6688032
Convenience Store,35.67025793,139.6163285
Convenience Store,35.71176125,139.6849179
Convenience Store,35.728587,139.776866
Subway,35.6680702,139.7725296
Convenience Store,35.70443346,139.6972774
Subway,35.71091624,139.7978872
Train Station,35.81481661,139.586926
Subway,35.72552412,139.763217
Train Station,35.60717874,139.734729
Train Station,35.74440118,139.8112822
Train Station,35.7388145,139.6624306
Train Station,35.66229986,139.5848715
Convenience Store,35.70207356,139.7718805
Bus Station,35.66364442,139.6604642
Subway,35.68173603,139.7648478
Train Station,35.75141113,139.5457685
Convenience Store,35.55884265,139.5514137
Train Station,35.57668092,139.6594745
Train Station,35.66140312,139.6672556
Train Station,35.69749937,139.5827043
Subway,35.67434997,139.7670445
Train Station,35.63440986,139.7916135
Train Station,35.62798292,139.737967
Convenience Store,35.7490346,139.5700277
Train Station,35.7286335,139.5526046
Train Station,35.74543536,139.7196487
Convenience Store,35.69306434,139.6965587
Subway,35.62653543,139.7233486
Convenience Store,35.6703937,139.7431912
Train Station,35.69049855,139.6999998
Train Station,35.71209229,139.798429
Subway,35.76209738,139.8249185
Subway,35.55408569,139.6052027
Subway,35.672868,139.763171
Train Station,35.5310519,139.6843868
Train Station,35.6891005,139.7000596
Airport,35.55128907,139.7885962
Subway,35.67157801,139.7412551
Convenience Store,35.70042688,139.7504389
Train Station,35.66987443,139.6157169
Train Station,35.62862729,139.7383961
Train Station,35.73343623,139.7393691
Convenience Store,35.73883743,139.7614069
Train Station,35.78827415,139.6129149
Train Station,35.65879956,139.6992169
Train Station,35.65462985,139.7055497
Bus Station,35.65102422,139.7474177
Train Station,35.68137001,139.7664571
Convenience Store,35.67946581,139.7401875
Subway,35.67995821,139.7800827
Convenience Store,35.65037217,139.7480518
Train Station,35.68359266,139.7022436
Convenience Store,35.640727,139.694432
Subway,35.68632419,139.7822714
Train Station,35.62841908,139.739871
Train Station,35.70124524,139.7447031
Bus Station,35.73275145,139.881671
Airport,35.55047499,139.789449
Airport,35.54948557,139.7903234
Train Station,35.71332822,139.7762232
Subway,35.73841974,139.6891578
Train Station,35.65136821,139.6366382
Train Station,35.71332092,139.7762781
Subway,35.76993233,139.6440411
Train Station,35.65468862,139.7570746
Subway,35.69543437,139.7674549
Subway,35.69686768,139.7974581
Train Station,35.68148661,139.7677663
Train Station,35.69844473,139.7733396
Subway,35.69829062,139.7746734
Subway,35.687564,139.79738
Convenience Store,35.68196845,139.6878546
Subway,35.69553021,139.7520268
Train Station,35.57667219,139.6595013
Train Station,35.53098642,139.6966258
Bus Station,35.62023713,139.5700327
Convenience Store,35.703855,139.562689
Train Station,35.64734965,139.6240794
Convenience Store,35.70129066,139.7404917
Subway,35.672219,139.7957039
Convenience Store,35.70612694,139.7697562
Subway,35.7082374,139.769901
Convenience Store,35.73052781,139.7289008
Subway,35.66985012,139.7030065
Subway,35.71245048,139.7759286
Train Station,35.72963509,139.7094226
Train Station,35.66162867,139.6665502
Train Station,35.73037539,139.7124052
Train Station,35.6502414,139.558602
Train Station,35.68129593,139.7670311
Train Station,35.72056,139.7063509
Convenience Store,35.5909731,139.7324038
Train Station,35.82746937,139.6603274
Subway,35.73097634,139.7095621
Train Station,35.62716332,139.573617
Subway,35.67361351,139.7413516
Train Station,35.80803396,139.6780407
Train Station,35.72762269,139.5771278
Bus Station,35.63320036,139.7380668
Convenience Store,35.71212255,139.8598336
Convenience Store,35.65117373,139.5579789
Subway,35.7139761,139.6863127
